"2023-05-10 15:13:45,712 [INFO] Reporter Initialized!
"2023-05-10 15:13:45,712 [INFO] Reporter LEVEL: info
"2023-05-10 15:13:45,712 [INFO] Usung random data
"2023-05-10 15:13:46,946 [INFO] None
"2023-05-10 15:13:46,946 [INFO] Device(cuda) is working for train
"2023-05-10 15:13:46,946 [INFO] Train Started
"2023-05-10 15:14:14,633 [INFO] EPISODE 1970, LOSS 0.1622523069381714
"2023-05-10 15:14:14,773 [INFO] EPISODE 1980, LOSS 0.21793833374977112
"2023-05-10 15:14:14,905 [INFO] EPISODE 1990, LOSS 0.20313572883605957
"2023-05-10 15:14:15,047 [INFO] ===== ONNX SAVED at ./savemodel/0510_0313PM_MY_PDE/2000.onnx
"2023-05-10 15:14:15,047 [INFO] EPISODE 2000, LOSS 0.13216768205165863
"2023-05-10 15:14:15,167 [INFO] EPISODE 2010, LOSS 0.07923996448516846
"2023-05-10 15:14:15,374 [INFO] EPISODE 2020, LOSS 0.1461060643196106
"2023-05-10 15:14:15,509 [INFO] EPISODE 2030, LOSS 0.13836552202701569
"2023-05-10 15:14:15,651 [INFO] EPISODE 2040, LOSS 0.1281159520149231
"2023-05-10 15:14:15,788 [INFO] EPISODE 2050, LOSS 0.19974391162395477
"2023-05-10 15:14:15,921 [INFO] EPISODE 2060, LOSS 0.21543404459953308
"2023-05-10 15:14:16,053 [INFO] EPISODE 2070, LOSS 0.1141386479139328
"2023-05-10 15:14:16,185 [INFO] EPISODE 2080, LOSS 0.2639043629169464
"2023-05-10 15:14:16,304 [INFO] EPISODE 2090, LOSS 0.1904570311307907
"2023-05-10 15:14:16,435 [INFO] EPISODE 2100, LOSS 0.20115721225738525
"2023-05-10 15:14:16,566 [INFO] EPISODE 2110, LOSS 0.1511220633983612
"2023-05-10 15:14:16,694 [INFO] EPISODE 2120, LOSS 0.22221629321575165
"2023-05-10 15:14:16,827 [INFO] EPISODE 2130, LOSS 0.21027064323425293
"2023-05-10 15:14:16,956 [INFO] EPISODE 2140, LOSS 0.11009405553340912
"2023-05-10 15:14:17,095 [INFO] EPISODE 2150, LOSS 0.21175400912761688
"2023-05-10 15:14:17,225 [INFO] EPISODE 2160, LOSS 0.17239052057266235
"2023-05-10 15:14:17,355 [INFO] EPISODE 2170, LOSS 0.1219060868024826
"2023-05-10 15:14:17,484 [INFO] EPISODE 2180, LOSS 0.2786838114261627
"2023-05-10 15:14:17,612 [INFO] EPISODE 2190, LOSS 0.15983900427818298
"2023-05-10 15:14:17,743 [INFO] EPISODE 2200, LOSS 0.3200855553150177
"2023-05-10 15:14:17,870 [INFO] EPISODE 2210, LOSS 0.2526005506515503
